,Variable,Count
547,Final Energy|Industry|Chemicals|High value chemicals|Solids,39
548,Final Energy|Industry|Chemicals|High value chemicals|Solids|Bioenergy,39
549,Final Energy|Industry|Chemicals|High value chemicals|Solids|Fossil,39
550,Final Energy|Industry|Chemicals|Hydrogen,8
551,Final Energy|Industry|Chemicals|Liquids,47
552,Final Energy|Industry|Chemicals|Liquids|Bioenergy,39
553,Final Energy|Industry|Chemicals|Liquids|Fossil,39
554,Final Energy|Industry|Chemicals|Solids,47
555,Final Energy|Industry|Chemicals|Solids|Bioenergy,39
556,Final Energy|Industry|Chemicals|Solids|Fossil,39
557,Final Energy|Industry|Electricity,1056
558,Final Energy|Industry|Gases,1056
559,Final Energy|Industry|Gases|Bioenergy,112
560,Final Energy|Industry|Heat,808
561,Final Energy|Industry|Hydrogen,961
562,Final Energy|Industry|Liquids,1056
563,Final Energy|Industry|Liquids|Oil,32
564,Final Energy|Industry|Other,435
565,Final Energy|Industry|Other|Electricity,47
566,Final Energy|Industry|Other|Gases,47
567,Final Energy|Industry|Other|Gases|Fossil,39
568,Final Energy|Industry|Other|Heat,47
569,Final Energy|Industry|Other|Hydrogen,47
570,Final Energy|Industry|Other|Liquids,47
571,Final Energy|Industry|Other|Liquids|Bioenergy,39
572,Final Energy|Industry|Other|Liquids|Fossil,39
573,Final Energy|Industry|Other|Solids,47
574,Final Energy|Industry|Other|Solids|Bioenergy,39
575,Final Energy|Industry|Other|Solids|Fossil,39
576,Final Energy|Industry|Solids,1056
577,Final Energy|Industry|Solids|Biomass,935
578,Final Energy|Industry|Solids|Coal,935
579,Final Energy|Industry|Steel|Electricity,47
580,Final Energy|Industry|Steel|Gases,47
581,Final Energy|Industry|Steel|Heat,59
582,Final Energy|Industry|Steel|Hydrogen,47
583,Final Energy|Industry|Steel|Liquids,47
584,Final Energy|Industry|Steel|Liquids|Fossil,39
585,Final Energy|Industry|Steel|Solids,47
586,Final Energy|Industry|Steel|Solids|Bioenergy,39
587,Final Energy|Industry|Steel|Solids|Fossil,39
588,Final Energy|Liquids,1170
589,Final Energy|Non-Energy Use,442
590,Final Energy|Non-Energy Use|Biomass,421
591,Final Energy|Non-Energy Use|Coal,544
592,Final Energy|Non-Energy Use|Gas,463
593,Final Energy|Non-Energy Use|Oil,470
594,Final Energy|Other,121
595,Final Energy|Other Sector,446
596,Final Energy|Other Sector|Electricity,446
597,Final Energy|Other Sector|Gases,446
598,Final Energy|Other Sector|Heat,191
599,Final Energy|Other Sector|Hydrogen,405
600,Final Energy|Other Sector|Liquids,446
601,Final Energy|Other Sector|Other,80
602,Final Energy|Other Sector|Solids,256
603,Final Energy|Other Sector|Solids|Biomass,169
604,Final Energy|Other Sector|Solids|Biomass|Traditional,70
605,Final Energy|Other Sector|Solids|Coal,176
606,Final Energy|Residential and Commercial,1047
607,Final Energy|Residential and Commercial|Appliances,43
608,Final Energy|Residential and Commercial|Commercial,289
609,Final Energy|Residential and Commercial|Commercial|Appliances,39
610,Final Energy|Residential and Commercial|Commercial|Cooling,45
611,Final Energy|Residential and Commercial|Commercial|Electricity,224
612,Final Energy|Residential and Commercial|Commercial|Gases,254
613,Final Energy|Residential and Commercial|Commercial|Heat,111
614,Final Energy|Residential and Commercial|Commercial|Heating,39
615,Final Energy|Residential and Commercial|Commercial|Heating|Cooking,39
616,Final Energy|Residential and Commercial|Commercial|Heating|Space,45
617,Final Energy|Residential and Commercial|Commercial|Heating|Water,39
618,Final Energy|Residential and Commercial|Commercial|Hydrogen,127
619,Final Energy|Residential and Commercial|Commercial|Lighting,39
620,Final Energy|Residential and Commercial|Commercial|Liquids,254
621,Final Energy|Residential and Commercial|Commercial|Solids,254
622,Final Energy|Residential and Commercial|Commercial|Solids|Biomass,111
623,Final Energy|Residential and Commercial|Commercial|Solids|Biomass|Traditional,105
624,Final Energy|Residential and Commercial|Commercial|Solids|Coal,111
625,Final Energy|Residential and Commercial|Cooling,49
626,Final Energy|Residential and Commercial|Electricity,957
627,Final Energy|Residential and Commercial|Gases,957
628,Final Energy|Residential and Commercial|Heat,868
629,Final Energy|Residential and Commercial|Heating,39
630,Final Energy|Residential and Commercial|Heating|Cooking,39
631,Final Energy|Residential and Commercial|Heating|Space,49
632,Final Energy|Residential and Commercial|Heating|Water,43
633,Final Energy|Residential and Commercial|Hydrogen,817
634,Final Energy|Residential and Commercial|Lighting,39
635,Final Energy|Residential and Commercial|Liquids,957
636,Final Energy|Residential and Commercial|Other,441
637,Final Energy|Residential and Commercial|Residential,335
638,Final Energy|Residential and Commercial|Residential|Appliances,39
639,Final Energy|Residential and Commercial|Residential|Cooling,45
640,Final Energy|Residential and Commercial|Residential|Electricity,254
641,Final Energy|Residential and Commercial|Residential|Gases,254
642,Final Energy|Residential and Commercial|Residential|Heat,111
643,Final Energy|Residential and Commercial|Residential|Heating,39
644,Final Energy|Residential and Commercial|Residential|Heating|Cooking,39
645,Final Energy|Residential and Commercial|Residential|Heating|Space,45
646,Final Energy|Residential and Commercial|Residential|Heating|Water,39
647,Final Energy|Residential and Commercial|Residential|Hydrogen,127
648,Final Energy|Residential and Commercial|Residential|Lighting,39
649,Final Energy|Residential and Commercial|Residential|Liquids,254
650,Final Energy|Residential and Commercial|Residential|Solids,248
651,Final Energy|Residential and Commercial|Residential|Solids|Biomass,105
652,Final Energy|Residential and Commercial|Residential|Solids|Biomass|Traditional,105
653,Final Energy|Residential and Commercial|Residential|Solids|Coal,105
654,Final Energy|Residential and Commercial|Solids,930
655,Final Energy|Residential and Commercial|Solids|Biomass,853
656,Final Energy|Residential and Commercial|Solids|Biomass|Traditional,464
657,Final Energy|Residential and Commercial|Solids|Coal,853
658,Final Energy|Solar,667
659,Final Energy|Solids,1170
660,Final Energy|Solids|Biomass,1170
661,Final Energy|Solids|Biomass|Traditional,889
662,Final Energy|Solids|Coal,1170
663,Final Energy|Transportation,1188
664,Final Energy|Transportation|Aviation,5
665,Final Energy|Transportation|Aviation|Freight,39
666,Final Energy|Transportation|Aviation|Passenger,55
667,Final Energy|Transportation|Electricity,1188
668,Final Energy|Transportation|Freight,678
669,Final Energy|Transportation|Freight|Electricity,255
670,Final Energy|Transportation|Freight|Gases,133
671,Final Energy|Transportation|Freight|Hydrogen,204
672,Final Energy|Transportation|Freight|Liquids,386
673,Final Energy|Transportation|Freight|Liquids|Bioenergy,464
674,Final Energy|Transportation|Freight|Liquids|Oil,353
675,Final Energy|Transportation|Freight|Other,232
676,Final Energy|Transportation|Gases,998
677,Final Energy|Transportation|Gases|Bioenergy,16
678,Final Energy|Transportation|Gases|Fossil,55
679,Final Energy|Transportation|Hydrogen,1115
680,Final Energy|Transportation|Liquids,1119
681,Final Energy|Transportation|Liquids|Bioenergy,689
682,Final Energy|Transportation|Liquids|Coal,572
683,Final Energy|Transportation|Liquids|Natural Gas,150
684,Final Energy|Transportation|Liquids|Oil,970
685,Final Energy|Transportation|Maritime,16
686,Final Energy|Transportation|Other,638
687,Final Energy|Transportation|Passenger,537
688,Final Energy|Transportation|Passenger|Electricity,463
689,Final Energy|Transportation|Passenger|Gases,126
690,Final Energy|Transportation|Passenger|Gases|Fossil,39
691,Final Energy|Transportation|Passenger|Hydrogen,379
692,Final Energy|Transportation|Passenger|Liquids,379
693,Final Energy|Transportation|Passenger|Liquids|Bioenergy,418
694,Final Energy|Transportation|Passenger|Liquids|Oil,346
695,Final Energy|Transportation|Passenger|Other,226
696,Final Energy|Transportation|Rail,60
697,Final Energy|Transportation|Rail|Freight,55
698,Final Energy|Transportation|Rail|Passenger,55
699,Final Energy|Transportation|Road|Freight,61
700,Final Energy|Transportation|Road|Freight|Electric,22
701,Final Energy|Transportation|Road|Freight|FC,16
702,Final Energy|Transportation|Road|Freight|ICE,16
703,Final Energy|Transportation|Road|Passenger,61
704,Final Energy|Transportation|Road|Passenger|2W&3W,22
705,Final Energy|Transportation|Road|Passenger|Bus,55
706,Final Energy|Transportation|Road|Passenger|LDV,151
707,Food Demand,767
708,Food Demand|Crops,735
709,Food Demand|Livestock,735
710,Food Energy Supply,234
711,Food Energy Supply|Livestock,164
712,Forcing,475
713,Forcing|Aerosol,374
714,Forcing|Aerosol|BC,307
715,Forcing|Aerosol|Black and Organic Carbon,154
716,Forcing|Aerosol|Cloud Indirect,357
717,Forcing|Aerosol|OC,307
718,Forcing|Aerosol|Other,307
719,Forcing|Aerosol|Sulfate Direct,357
720,Forcing|Albedo Change and Mineral Dust,282
721,Forcing|CH4,380
722,Forcing|CO2,380
723,Forcing|F-Gases,330
724,Forcing|Kyoto Gases,396
725,Forcing|Montreal Gases,338
726,Forcing|N2O,380
727,Forcing|Other,363
728,Forcing|Tropospheric Ozone,374
729,Forestry Demand|Roundwood,302
730,Forestry Demand|Roundwood|Industrial Roundwood,302
731,Forestry Demand|Roundwood|Wood Fuel,302
732,Forestry Production|Roundwood,382
733,Forestry Production|Roundwood|Industrial Roundwood,302
734,Forestry Production|Roundwood|Wood Fuel,302
735,GDP|MER,1012
736,GDP|PPP,1028
737,Human Toxicity|Electricity,15
738,Import|Energy,86
739,Interest Rate|Real,186
740,Investment,433
741,Investment|Energy Demand|Transportation|Freight|Road|HDT|EV,90
742,Investment|Energy Demand|Transportation|Freight|Road|HDT|ICE,90
743,Investment|Energy Demand|Transportation|Passenger|Road|LDV|EV,100
744,Investment|Energy Demand|Transportation|Passenger|Road|LDV|FCV,79
745,Investment|Energy Demand|Transportation|Passenger|Road|LDV|ICE,90
746,Investment|Energy Efficiency,105
747,Investment|Energy Supply,901
748,Investment|Energy Supply|CO2 Transport and Storage,623
749,Investment|Energy Supply|Electricity,848
750,Investment|Energy Supply|Electricity|Biomass,728
751,Investment|Energy Supply|Electricity|Biomass|w/ CCS,737
752,Investment|Energy Supply|Electricity|Biomass|w/o CCS,742
753,Investment|Energy Supply|Electricity|Coal,728
754,Investment|Energy Supply|Electricity|Coal|w/ CCS,736
755,Investment|Energy Supply|Electricity|Coal|w/o CCS,742
756,Investment|Energy Supply|Electricity|Electricity Storage,557
757,Investment|Energy Supply|Electricity|Fossil,782
758,Investment|Energy Supply|Electricity|Gas,728
759,Investment|Energy Supply|Electricity|Gas|w/ CCS,737
760,Investment|Energy Supply|Electricity|Gas|w/o CCS,742
761,Investment|Energy Supply|Electricity|Geothermal,539
762,Investment|Energy Supply|Electricity|Hydro,743
763,Investment|Energy Supply|Electricity|Non-Biomass Renewables,743
764,Investment|Energy Supply|Electricity|Non-fossil,683
765,Investment|Energy Supply|Electricity|Nuclear,743
766,Investment|Energy Supply|Electricity|Ocean,80
767,Investment|Energy Supply|Electricity|Oil,613
768,Investment|Energy Supply|Electricity|Oil|w/ CCS,156
769,Investment|Energy Supply|Electricity|Oil|w/o CCS,742
770,Investment|Energy Supply|Electricity|Other,399
771,Investment|Energy Supply|Electricity|Renewables (incl. Biomass),743
772,Investment|Energy Supply|Electricity|Solar,743
773,Investment|Energy Supply|Electricity|Transmission and Distribution,572
774,Investment|Energy Supply|Electricity|Wind,743
775,Investment|Energy Supply|Extraction|Bioenergy,191
776,Investment|Energy Supply|Extraction|Coal,453
777,Investment|Energy Supply|Extraction|Fossil,505
778,Investment|Energy Supply|Extraction|Gas,453
779,Investment|Energy Supply|Extraction|Oil,543
780,Investment|Energy Supply|Extraction|Uranium,326
781,Investment|Energy Supply|Heat,469
782,Investment|Energy Supply|Hydrogen,588
783,Investment|Energy Supply|Hydrogen|Biomass,17
784,Investment|Energy Supply|Hydrogen|Electricity,9
785,Investment|Energy Supply|Hydrogen|Fossil,576
786,Investment|Energy Supply|Hydrogen|Other,267
787,Investment|Energy Supply|Hydrogen|Renewable,500
788,Investment|Energy Supply|Liquids,614
789,Investment|Energy Supply|Liquids|Biomass,549
790,Investment|Energy Supply|Liquids|Coal and Gas,438
791,Investment|Energy Supply|Liquids|Oil,469
792,Investment|Energy Supply|Other,222
793,Investment|Infrastructure|Residential and Commercial|Building Retrofits,10
794,Investment|Infrastructure|Transportation,78
795,Investment|RnD|Energy Supply,90
796,Land Cover,836
797,Land Cover|Built-up Area,501
798,Land Cover|Cropland,924
799,Land Cover|Cropland|Cereals,392
800,Land Cover|Cropland|Energy Crops,789
801,Land Cover|Cropland|Energy Crops|2nd generation,28
802,Land Cover|Cropland|Energy Crops|Irrigated,176
803,Land Cover|Cropland|Irrigated,610
804,Land Cover|Cropland|Rainfed,270
805,Land Cover|Forest,938
806,Land Cover|Forest|Afforestation and Reforestation,492
807,Land Cover|Forest|Forestry|Harvested Area,121
808,Land Cover|Forest|Managed,429
809,Land Cover|Forest|Natural Forest,657
810,Land Cover|Forest|Secondary,28
811,Land Cover|Other Arable Land,242
812,Land Cover|Other Land,740
813,Land Cover|Pasture,923
814,Lifetime|Electricity|Biomass|w/ CCS,408
815,Lifetime|Electricity|Biomass|w/o CCS,378
816,Lifetime|Electricity|Coal|w/ CCS,408
817,Lifetime|Electricity|Coal|w/o CCS,378
818,Lifetime|Electricity|Gas|w/ CCS,408
819,Lifetime|Electricity|Gas|w/o CCS,378
820,Lifetime|Electricity|Geothermal,476
821,Lifetime|Electricity|Hydro,592
822,Lifetime|Electricity|Nuclear,592
823,Lifetime|Electricity|Solar|CSP,408
824,Lifetime|Electricity|Solar|PV,592
825,Lifetime|Electricity|Wind,344
826,Lifetime|Electricity|Wind|Offshore,414
827,Lifetime|Electricity|Wind|Onshore,414
828,Lifetime|Gases|Biomass|w/o CCS,396
829,Lifetime|Gases|Coal|w/o CCS,396
830,Lifetime|Hydrogen|Biomass|w/ CCS,426
831,Lifetime|Hydrogen|Biomass|w/o CCS,426
832,Lifetime|Hydrogen|Coal|w/ CCS,426
833,Lifetime|Hydrogen|Coal|w/o CCS,426
834,Lifetime|Hydrogen|Electricity,425
835,Lifetime|Hydrogen|Gas|w/ CCS,426
836,Lifetime|Hydrogen|Gas|w/o CCS,396
837,Lifetime|Liquids|Biomass|w/ CCS,396
838,Lifetime|Liquids|Biomass|w/o CCS,396
839,Lifetime|Liquids|Coal|w/ CCS,396
840,Lifetime|Liquids|Coal|w/o CCS,396
841,Lifetime|Liquids|Gas|w/ CCS,184
842,Lifetime|Liquids|Gas|w/o CCS,184
843,Lifetime|Liquids|Oil,212
844,Material recycling|Chemicals,39
845,Material recycling|Plastics,39
846,OM Cost|Fixed|Electricity|Biomass|w/ CCS,389
847,OM Cost|Fixed|Electricity|Biomass|w/o CCS,419
848,OM Cost|Fixed|Electricity|Coal|w/ CCS,389
849,OM Cost|Fixed|Electricity|Coal|w/o CCS,426
850,OM Cost|Fixed|Electricity|Gas|w/ CCS,389
851,OM Cost|Fixed|Electricity|Gas|w/o CCS,426
852,OM Cost|Fixed|Electricity|Geothermal,516
853,OM Cost|Fixed|Electricity|Hydro,609
854,OM Cost|Fixed|Electricity|Nuclear,609
855,OM Cost|Fixed|Electricity|Solar|CSP,385
856,OM Cost|Fixed|Electricity|Solar|PV,609
857,OM Cost|Fixed|Electricity|Wind,305
858,OM Cost|Fixed|Electricity|Wind|Offshore,390
859,OM Cost|Fixed|Electricity|Wind|Onshore,431
860,OM Cost|Fixed|Gases|Biomass|w/o CCS,395
861,OM Cost|Fixed|Gases|Coal|w/o CCS,395
862,OM Cost|Fixed|Hydrogen|Biomass|w/ CCS,465
863,OM Cost|Fixed|Hydrogen|Biomass|w/o CCS,465
864,OM Cost|Fixed|Hydrogen|Coal|w/ CCS,465
865,OM Cost|Fixed|Hydrogen|Coal|w/o CCS,465
866,OM Cost|Fixed|Hydrogen|Electricity,465
867,OM Cost|Fixed|Hydrogen|Gas|w/ CCS,465
868,OM Cost|Fixed|Hydrogen|Gas|w/o CCS,465
869,OM Cost|Fixed|Liquids|Biomass|w/ CCS,503
870,OM Cost|Fixed|Liquids|Biomass|w/o CCS,506
871,OM Cost|Fixed|Liquids|Coal|w/ CCS,395
872,OM Cost|Fixed|Liquids|Coal|w/o CCS,395
873,OM Cost|Fixed|Liquids|Gas|w/ CCS,183
874,OM Cost|Fixed|Liquids|Gas|w/o CCS,183
875,OM Cost|Fixed|Liquids|Oil,253
876,Policy Cost|Additional Total Energy System Cost,377
877,Policy Cost|Area under MAC Curve,229
878,Policy Cost|Consumption Loss,610
879,Policy Cost|Default for CAV,149
880,Policy Cost|Equivalent Variation,7
881,Policy Cost|GDP Loss,672
882,Policy Cost|Other,41
883,Policy Cost|Welfare Change,90
884,Population,1092
885,Population|Electricity Access,39
886,Population|Extreme poverty,8
887,Population|Relying on Solid Fuels,54
888,Population|Risk of Hunger,154
889,Population|Rural,341
890,Population|Urban,379
891,Premature Deaths|PM2.5,12
892,Price|Agriculture|Corn|Index,51
893,Price|Agriculture|Livestock|Index,42
894,Price|Agriculture|Non-Energy Crops and Livestock|Index,377
895,Price|Agriculture|Non-Energy Crops|Index,194
896,Price|Agriculture|Rice|Index,33
897,Price|Agriculture|Soybean|Index,81
898,Price|Agriculture|Wheat|Index,81
899,Price|Carbon,1118
900,Price|Final Energy|Residential and Commercial|Residential|Electricity,536
901,Price|Final Energy|Residential and Commercial|Residential|Gases|Natural Gas,442
902,Price|Final Energy|Residential and Commercial|Residential|Liquids|Biomass,242
903,Price|Final Energy|Residential and Commercial|Residential|Liquids|Oil,433
904,Price|Final Energy|Residential and Commercial|Residential|Solids|Biomass,442
905,Price|Final Energy|Residential and Commercial|Residential|Solids|Coal,445
906,Price|Final Energy|Transportation|Electricity,130
907,Price|Final Energy|Transportation|Gases,19
908,Price|Final Energy|Transportation|Hydrogen,121
909,Price|Final Energy|Transportation|Liquids,148
910,Price|Final Energy|Transportation|Liquids|Bioenergy,27
911,Price|Primary Energy|Biomass,664
912,Price|Primary Energy|Coal,840
913,Price|Primary Energy|Gas,840
914,Price|Primary Energy|Oil,840
915,Price|Secondary Energy|Electricity,821
916,Price|Secondary Energy|Gases|Natural Gas,507
917,Price|Secondary Energy|Hydrogen,448
918,Price|Secondary Energy|Liquids,564
919,Price|Secondary Energy|Liquids|Biomass,651
920,Price|Secondary Energy|Liquids|Oil,667
921,Price|Secondary Energy|Solids|Biomass,162
922,Price|Secondary Energy|Solids|Coal,395
923,Primary Energy,1195
924,Primary Energy|Biomass,1193
925,Primary Energy|Biomass|1st Generation,553
926,Primary Energy|Biomass|Electricity,736
927,Primary Energy|Biomass|Electricity|w/ CCS,682
928,Primary Energy|Biomass|Electricity|w/o CCS,685
929,Primary Energy|Biomass|Energy Crops,547
930,Primary Energy|Biomass|Gases,338
931,Primary Energy|Biomass|Hydrogen,408
932,Primary Energy|Biomass|Liquids,409
933,Primary Energy|Biomass|Modern,950
934,Primary Energy|Biomass|Modern|w/ CCS,961
935,Primary Energy|Biomass|Modern|w/o CCS,930
936,Primary Energy|Biomass|Residues,545
937,Primary Energy|Biomass|Solids,414
938,Primary Energy|Biomass|Traditional,960
939,Primary Energy|Coal,1195
940,Primary Energy|Coal|Electricity,711
941,Primary Energy|Coal|Electricity|w/ CCS,615
942,Primary Energy|Coal|Electricity|w/o CCS,618
943,Primary Energy|Coal|Gases,338
944,Primary Energy|Coal|Hydrogen,399
945,Primary Energy|Coal|Liquids,338
946,Primary Energy|Coal|Solids,338
947,Primary Energy|Coal|w/ CCS,1134
948,Primary Energy|Coal|w/o CCS,1142
949,Primary Energy|Fossil,1195
950,Primary Energy|Fossil|w/ CCS,1069
951,Primary Energy|Fossil|w/o CCS,1088
952,Primary Energy|Gas,1195
953,Primary Energy|Gas|Electricity,702
954,Primary Energy|Gas|Electricity|w/ CCS,624
955,Primary Energy|Gas|Electricity|w/o CCS,627
956,Primary Energy|Gas|Gases,362
957,Primary Energy|Gas|Hydrogen,511
958,Primary Energy|Gas|Liquids,362
959,Primary Energy|Gas|Solids,184
960,Primary Energy|Gas|w/ CCS,1157
961,Primary Energy|Gas|w/o CCS,1166
962,Primary Energy|Geothermal,863
963,Primary Energy|Hydro,1072
964,Primary Energy|Non-Biomass Renewables,1195
965,Primary Energy|Non-Biomass Renewables|Geothermal,86
966,Primary Energy|Non-Biomass Renewables|Hydro,126
967,Primary Energy|Non-Biomass Renewables|Ocean,6
968,Primary Energy|Non-Biomass Renewables|Solar,126
969,Primary Energy|Non-Biomass Renewables|Wind,126
970,Primary Energy|Nuclear,1195
971,Primary Energy|Ocean,347
972,Primary Energy|Oil,1195
973,Primary Energy|Oil|Electricity,631
974,Primary Energy|Oil|Electricity|w/ CCS,542
975,Primary Energy|Oil|Electricity|w/o CCS,545
976,Primary Energy|Oil|Gases,184
977,Primary Energy|Oil|Hydrogen,254
978,Primary Energy|Oil|Liquids,184
979,Primary Energy|Oil|Solids,184
980,Primary Energy|Oil|w/ CCS,510
981,Primary Energy|Oil|w/o CCS,1122
982,Primary Energy|Other,604
983,Primary Energy|Renewables (incl. Biomass),1195
984,Primary Energy|Secondary Energy Trade,377
985,Primary Energy|Solar,1065
986,Primary Energy|Wind,1065
987,Production|Cement,131
988,Production|Chemicals,39
989,Production|Non-ferrous metals,6
990,Production|Pulp and Paper,39
991,Production|Steel,161
992,Resource|Extraction|Coal,121
993,Resource|Extraction|Gas,121
994,Resource|Extraction|Oil,121
995,Resource|Use|Mineral|Electricity,15
996,Secondary Energy,792
997,Secondary Energy|Electricity,1195
998,Secondary Energy|Electricity|Biomass,1195
999,Secondary Energy|Electricity|Biomass|w/ CCS,1160
1000,Secondary Energy|Electricity|Biomass|w/o CCS,1169
1001,Secondary Energy|Electricity|Coal,1196
1002,Secondary Energy|Electricity|Coal|w/ CCS,1168
1003,Secondary Energy|Electricity|Coal|w/o CCS,1176
1004,Secondary Energy|Electricity|Curtailment,251
1005,Secondary Energy|Electricity|Fossil,1196
1006,Secondary Energy|Electricity|Fossil|w/ CCS,581
1007,Secondary Energy|Electricity|Fossil|w/o CCS,631
1008,Secondary Energy|Electricity|Gas,1196
1009,Secondary Energy|Electricity|Gas|w/ CCS,1167
1010,Secondary Energy|Electricity|Gas|w/o CCS,1176
1011,Secondary Energy|Electricity|Geothermal,912
1012,Secondary Energy|Electricity|Hydro,1196
1013,Secondary Energy|Electricity|Non-Biomass Renewables,1196
1014,Secondary Energy|Electricity|Nuclear,1196
1015,Secondary Energy|Electricity|Ocean,113
1016,Secondary Energy|Electricity|Oil,1196
1017,Secondary Energy|Electricity|Oil|w/ CCS,446
1018,Secondary Energy|Electricity|Oil|w/o CCS,1062
1019,Secondary Energy|Electricity|Other,540
1020,Secondary Energy|Electricity|Renewables (incl. Biomass),1196
1021,Secondary Energy|Electricity|Solar,1189
1022,Secondary Energy|Electricity|Solar|CSP,914
1023,Secondary Energy|Electricity|Solar|PV,955
1024,Secondary Energy|Electricity|Storage Losses,261
1025,Secondary Energy|Electricity|Transmission Losses,232
1026,Secondary Energy|Electricity|Wind,1189
1027,Secondary Energy|Electricity|Wind|Offshore,655
1028,Secondary Energy|Electricity|Wind|Onshore,696
1029,Secondary Energy|Gases,1113
1030,Secondary Energy|Gases|Biomass,611
1031,Secondary Energy|Gases|Coal,611
1032,Secondary Energy|Gases|Natural Gas,947
1033,Secondary Energy|Gases|Other,283
1034,Secondary Energy|Heat,767
1035,Secondary Energy|Heat|Biomass,463
1036,Secondary Energy|Heat|Coal,463
1037,Secondary Energy|Heat|Fossil,463
1038,Secondary Energy|Heat|Gas,463
1039,Secondary Energy|Heat|Geothermal,519
1040,Secondary Energy|Heat|Non-Biomass Renewables,599
1041,Secondary Energy|Heat|Nuclear,41
1042,Secondary Energy|Heat|Oil,239
1043,Secondary Energy|Heat|Other,191
1044,Secondary Energy|Heat|Renewables (incl. Biomass),606
1045,Secondary Energy|Heat|Solar,80
1046,Secondary Energy|Hydrogen,955
1047,Secondary Energy|Hydrogen|Biomass,694
1048,Secondary Energy|Hydrogen|Biomass|w/ CCS,691
1049,Secondary Energy|Hydrogen|Biomass|w/o CCS,693
1050,Secondary Energy|Hydrogen|Coal,571
1051,Secondary Energy|Hydrogen|Coal|w/ CCS,564
1052,Secondary Energy|Hydrogen|Coal|w/o CCS,570
1053,Secondary Energy|Hydrogen|Electricity,771
1054,Secondary Energy|Hydrogen|Fossil,708
1055,Secondary Energy|Hydrogen|Fossil|w/ CCS,546
1056,Secondary Energy|Hydrogen|Fossil|w/o CCS,548
1057,Secondary Energy|Hydrogen|Gas,650
1058,Secondary Energy|Hydrogen|Gas|w/ CCS,649
1059,Secondary Energy|Hydrogen|Gas|w/o CCS,649
1060,Secondary Energy|Hydrogen|Non-Biomass Renewables,150
1061,Secondary Energy|Hydrogen|Nuclear,80
1062,Secondary Energy|Hydrogen|Oil,70
1063,Secondary Energy|Hydrogen|Other,110
1064,Secondary Energy|Hydrogen|Renewables (incl. Biomass),694
1065,Secondary Energy|Hydrogen|Solar,150
1066,Secondary Energy|Liquids,1113
1067,Secondary Energy|Liquids|Biomass,1018
1068,Secondary Energy|Liquids|Biomass|1st Generation,458
1069,Secondary Energy|Liquids|Biomass|Energy Crops,489
1070,Secondary Energy|Liquids|Biomass|Other,39
1071,Secondary Energy|Liquids|Biomass|Residues,364
1072,Secondary Energy|Liquids|Biomass|w/ CCS,818
1073,Secondary Energy|Liquids|Biomass|w/o CCS,919
1074,Secondary Energy|Liquids|Coal,727
1075,Secondary Energy|Liquids|Coal|w/ CCS,684
1076,Secondary Energy|Liquids|Coal|w/o CCS,692
1077,Secondary Energy|Liquids|Fossil,728
1078,Secondary Energy|Liquids|Fossil|w/ CCS,525
1079,Secondary Energy|Liquids|Fossil|w/o CCS,642
1080,Secondary Energy|Liquids|Gas,590
1081,Secondary Energy|Liquids|Gas|w/ CCS,544
1082,Secondary Energy|Liquids|Gas|w/o CCS,544
1083,Secondary Energy|Liquids|Oil,1018
1084,Secondary Energy|Liquids|Other,80
1085,Secondary Energy|Solids,1006
1086,Secondary Energy|Solids|Biomass,637
1087,Secondary Energy|Solids|Coal,723
1088,Subsidies|Energy,248
1089,Subsidies|Energy|Fossil,292
1090,Temperature|Global Mean,240
1091,Trade,407
1092,Trade|Primary Energy|Biomass|Volume,739
1093,Trade|Primary Energy|Coal|Volume,875
1094,Trade|Primary Energy|Gas|Volume,875
1095,Trade|Primary Energy|Oil|Volume,875
1096,Trade|Secondary Energy|Electricity|Volume,315
1097,Trade|Secondary Energy|Hydrogen|Volume,201
1098,Trade|Secondary Energy|Liquids|Biomass|Volume,297
1099,Trade|Secondary Energy|Liquids|Coal|Volume,184
1100,Trade|Secondary Energy|Liquids|Oil|Volume,290
1101,Trade|Uranium|Mass,212
1102,Transport|Stock|Road|Passenger|LDV,27
1103,Unemployment,41
1104,Unemployment|Rate,75
1105,Value Added|Agriculture,82
1106,Value Added|Industry,129
1107,Value Added|Industry|Energy,34
1108,Value Added|Industry|Energy Intensive,41
1109,Value Added|Residential and Commercial|Commercial,71
1110,Water Consumption,317
1111,Water Consumption|Electricity,413
1112,Water Consumption|Electricity w/o Hydro,23
1113,Water Consumption|Electricity|Biomass,389
1114,Water Consumption|Electricity|Biomass|w/ CCS,386
1115,Water Consumption|Electricity|Biomass|w/o CCS,389
1116,Water Consumption|Electricity|Coal,389
1117,Water Consumption|Electricity|Coal|w/ CCS,386
1118,Water Consumption|Electricity|Coal|w/o CCS,389
1119,Water Consumption|Electricity|Cooling Pond,164
1120,Water Consumption|Electricity|Dry Cooling,348
1121,Water Consumption|Electricity|Fossil,389
1122,Water Consumption|Electricity|Fossil|w/ CCS,386
1123,Water Consumption|Electricity|Fossil|w/o CCS,389
1124,Water Consumption|Electricity|Gas,389
1125,Water Consumption|Electricity|Gas|w/ CCS,386
1126,Water Consumption|Electricity|Gas|w/o CCS,389
1127,Water Consumption|Electricity|Geothermal,303
1128,Water Consumption|Electricity|Hydro,389
1129,Water Consumption|Electricity|Non-Biomass Renewables,389
1130,Water Consumption|Electricity|Nuclear,389
1131,Water Consumption|Electricity|Oil,389
