,Variable,Count
111,Capacity|Hydrogen|Coal|w/o CCS,260
112,Capacity|Hydrogen|Electricity,338
113,Capacity|Hydrogen|Gas,339
114,Capacity|Hydrogen|Gas|w/ CCS,339
115,Capacity|Hydrogen|Gas|w/o CCS,339
116,Capacity|Liquids|Biomass,190
117,Capacity|Liquids|Biomass|w/ CCS,228
118,Capacity|Liquids|Biomass|w/o CCS,231
119,Capacity|Liquids|Coal,190
120,Capacity|Liquids|Coal|w/ CCS,190
121,Capacity|Liquids|Coal|w/o CCS,190
122,Capacity|Liquids|Gas,190
123,Capacity|Liquids|Gas|w/ CCS,190
124,Capacity|Liquids|Gas|w/o CCS,190
125,Capacity|Liquids|Oil,231
126,Capital Cost|Electricity|Biomass|w/ CCS,548
127,Capital Cost|Electricity|Biomass|w/o CCS,545
128,Capital Cost|Electricity|Coal|w/ CCS,548
129,Capital Cost|Electricity|Coal|w/o CCS,545
130,Capital Cost|Electricity|Gas|w/ CCS,548
131,Capital Cost|Electricity|Gas|w/o CCS,545
132,Capital Cost|Electricity|Geothermal,641
133,Capital Cost|Electricity|Hydro,638
134,Capital Cost|Electricity|Nuclear,735
135,Capital Cost|Electricity|Solar|CSP,470
136,Capital Cost|Electricity|Solar|PV,735
137,Capital Cost|Electricity|Wind|Offshore,692
138,Capital Cost|Electricity|Wind|Onshore,543
139,Capital Cost|Gases|Biomass|w/ CCS,45
140,Capital Cost|Gases|Biomass|w/o CCS,423
141,Capital Cost|Gases|Coal|w/ CCS,45
142,Capital Cost|Gases|Coal|w/o CCS,423
143,Capital Cost|Hydrogen|Biomass|w/ CCS,499
144,Capital Cost|Hydrogen|Biomass|w/o CCS,545
145,Capital Cost|Hydrogen|Coal|w/ CCS,544
146,Capital Cost|Hydrogen|Coal|w/o CCS,545
147,Capital Cost|Hydrogen|Electricity,555
148,Capital Cost|Hydrogen|Gas|w/ CCS,499
149,Capital Cost|Hydrogen|Gas|w/o CCS,538
150,Capital Cost|Liquids|Biomass|w/ CCS,576
151,Capital Cost|Liquids|Biomass|w/o CCS,579
152,Capital Cost|Liquids|Coal|w/ CCS,538
153,Capital Cost|Liquids|Coal|w/o CCS,538
154,Capital Cost|Liquids|Gas|w/ CCS,259
155,Capital Cost|Liquids|Gas|w/o CCS,304
156,Capital Cost|Liquids|Oil,275
157,Capital Formation,178
158,Capital Stock,124
159,Carbon Intensity|Production|Cement,8
160,Carbon Intensity|Production|Cement|Industrial Processes,20
161,Carbon Intensity|Production|Steel,20
162,Carbon Intensity|Production|Steel|Fossil|Energy|Demand|Industry,12
163,Carbon Sequestration|CCS,1187
164,Carbon Sequestration|CCS|Biomass,1144
165,Carbon Sequestration|CCS|Biomass|Energy,148
166,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry,463
167,Carbon Sequestration|CCS|Biomass|Energy|Supply,851
168,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,855
